filename,graph_type,n,density,seed,runtime_s,peak_memory_kb
degenerate_n10_p100_seed1.json,degenerate,10,1.0,1,0.283131307,523.1552734375
degenerate_n10_p100_seed10.json,degenerate,10,1.0,10,0.04696364499999998,401.04296875
degenerate_n10_p100_seed2.json,degenerate,10,1.0,2,0.046826138999999975,400.400390625
degenerate_n10_p100_seed3.json,degenerate,10,1.0,3,0.04839695099999996,400.498046875
degenerate_n10_p100_seed4.json,degenerate,10,1.0,4,0.5564084969999997,452.7138671875
degenerate_n10_p100_seed5.json,degenerate,10,1.0,5,0.04761294600000001,400.1708984375
degenerate_n10_p100_seed6.json,degenerate,10,1.0,6,0.17565369300000006,430.7607421875
degenerate_n10_p100_seed7.json,degenerate,10,1.0,7,0.04947710100000001,471.9765625
degenerate_n10_p100_seed8.json,degenerate,10,1.0,8,0.042884769000000045,400.0869140625
degenerate_n10_p100_seed9.json,degenerate,10,1.0,9,0.050924794999999995,399.544921875
degenerate_n10_p30_seed1.json,degenerate,10,0.3,1,0.023073928000000007,251.9833984375
degenerate_n10_p30_seed10.json,degenerate,10,0.3,10,0.02158967400000002,228.939453125
degenerate_n10_p30_seed2.json,degenerate,10,0.3,2,0.017131482999999996,206.94140625
degenerate_n10_p30_seed3.json,degenerate,10,0.3,3,0.022038313000000004,229.0693359375
degenerate_n10_p30_seed4.json,degenerate,10,0.3,4,0.018039544000000008,206.5859375
degenerate_n10_p30_seed5.json,degenerate,10,0.3,5,0.020526093000000013,228.677734375
degenerate_n10_p30_seed6.json,degenerate,10,0.3,6,0.05914786899999998,252.236328125
degenerate_n10_p30_seed7.json,degenerate,10,0.3,7,0.10760514600000003,427.9765625
degenerate_n10_p30_seed8.json,degenerate,10,0.3,8,0.052807539999999986,301.16015625
degenerate_n10_p30_seed9.json,degenerate,10,0.3,9,0.028824708,280.421875
degenerate_n10_p60_seed1.json,degenerate,10,0.6,1,0.020670496999999986,228.8076171875
degenerate_n10_p60_seed10.json,degenerate,10,0.6,10,0.029609772999999995,279.3115234375
degenerate_n10_p60_seed2.json,degenerate,10,0.6,2,0.023823796,251.84375
degenerate_n10_p60_seed3.json,degenerate,10,0.6,3,0.09945360599999999,427.3291015625
degenerate_n10_p60_seed4.json,degenerate,10,0.6,4,0.02316361600000001,251.7197265625
degenerate_n10_p60_seed5.json,degenerate,10,0.6,5,0.03464917499999997,342.8115234375
degenerate_n10_p60_seed6.json,degenerate,10,0.6,6,0.020698373,228.3955078125
degenerate_n10_p60_seed7.json,degenerate,10,0.6,7,0.029681808000000014,279.802734375
degenerate_n10_p60_seed8.json,degenerate,10,0.6,8,0.03283804099999998,314.2548828125
degenerate_n10_p60_seed9.json,degenerate,10,0.6,9,0.12152520599999996,416.359375
degenerate_n13_p100_seed1.json,degenerate,13,1.0,1,0.07007282000000004,472.1572265625
degenerate_n13_p100_seed10.json,degenerate,13,1.0,10,0.06917284700000007,447.2646484375
degenerate_n13_p100_seed2.json,degenerate,13,1.0,2,0.07274168100000002,415.400390625
degenerate_n13_p100_seed3.json,degenerate,13,1.0,3,0.07080063800000003,382.076171875
degenerate_n13_p100_seed4.json,degenerate,13,1.0,4,1.1979971009999992,554.1787109375
degenerate_n13_p100_seed5.json,degenerate,13,1.0,5,0.6754982839999997,526.6962890625
degenerate_n13_p100_seed6.json,degenerate,13,1.0,6,0.29565695199999986,513.6787109375
degenerate_n13_p100_seed7.json,degenerate,13,1.0,7,0.06722161199999999,497.880859375
degenerate_n13_p100_seed8.json,degenerate,13,1.0,8,0.07336923699999996,468.068359375
degenerate_n13_p100_seed9.json,degenerate,13,1.0,9,0.070321755,516.1162109375
degenerate_n13_p30_seed1.json,degenerate,13,0.3,1,0.019416541000000002,234.1728515625
degenerate_n13_p30_seed10.json,degenerate,13,0.3,10,0.031574687,316.7080078125
degenerate_n13_p30_seed2.json,degenerate,13,0.3,2,0.019424137000000008,234.87109375
degenerate_n13_p30_seed3.json,degenerate,13,0.3,3,0.02764697499999998,283.2431640625
degenerate_n13_p30_seed4.json,degenerate,13,0.3,4,0.03479428800000003,352.5224609375
degenerate_n13_p30_seed5.json,degenerate,13,0.3,5,0.023429437000000008,258.7529296875
degenerate_n13_p30_seed6.json,degenerate,13,0.3,6,0.020666664000000015,234.2646484375
degenerate_n13_p30_seed7.json,degenerate,13,0.3,7,0.0274855,283.8359375
degenerate_n13_p30_seed8.json,degenerate,13,0.3,8,0.026366249000000008,283.369140625
degenerate_n13_p30_seed9.json,degenerate,13,0.3,9,0.3806758880000003,396.052734375
degenerate_n13_p60_seed1.json,degenerate,13,0.6,1,0.04266516800000001,335.3876953125
degenerate_n13_p60_seed10.json,degenerate,13,0.6,10,0.03386076999999999,353.486328125
degenerate_n13_p60_seed2.json,degenerate,13,0.6,2,0.03291185399999999,315.7412109375
degenerate_n13_p60_seed3.json,degenerate,13,0.6,3,0.04773062899999998,413.3212890625
degenerate_n13_p60_seed4.json,degenerate,13,0.6,4,0.4635727880000007,445.576171875
degenerate_n13_p60_seed5.json,degenerate,13,0.6,5,0.032010311999999985,315.9375
degenerate_n13_p60_seed6.json,degenerate,13,0.6,6,0.048374905,412.208984375
degenerate_n13_p60_seed7.json,degenerate,13,0.6,7,0.03634560399999997,353.0146484375
degenerate_n13_p60_seed8.json,degenerate,13,0.6,8,0.042527868000000024,382.931640625
degenerate_n13_p60_seed9.json,degenerate,13,0.6,9,0.03614660299999999,351.2919921875
degenerate_n16_p100_seed1.json,degenerate,16,1.0,1,0.10315972200000002,493.189453125
degenerate_n16_p100_seed10.json,degenerate,16,1.0,10,0.09921305100000011,497.0126953125
degenerate_n16_p100_seed2.json,degenerate,16,1.0,2,0.09768466699999999,494.1904296875
degenerate_n16_p100_seed3.json,degenerate,16,1.0,3,5.1006690620000015,645.228515625
degenerate_n16_p100_seed4.json,degenerate,16,1.0,4,0.09584869500000003,493.7333984375
degenerate_n16_p100_seed5.json,degenerate,16,1.0,5,0.4308545959999998,610.25
degenerate_n16_p100_seed6.json,degenerate,16,1.0,6,0.10382637999999994,490.369140625
degenerate_n16_p100_seed7.json,degenerate,16,1.0,7,0.09690909799999996,493.0439453125
degenerate_n16_p100_seed8.json,degenerate,16,1.0,8,0.09284403999999997,496.93359375
degenerate_n16_p100_seed9.json,degenerate,16,1.0,9,0.09593203299999997,494.2294921875
degenerate_n16_p30_seed1.json,degenerate,16,0.3,1,0.029103443000000003,313.283203125
degenerate_n16_p30_seed10.json,degenerate,16,0.3,10,0.034106816999999984,350.8701171875
degenerate_n16_p30_seed2.json,degenerate,16,0.3,2,0.04372394900000001,390.208984375
degenerate_n16_p30_seed3.json,degenerate,16,0.3,3,0.035042592000000004,350.4189453125
degenerate_n16_p30_seed4.json,degenerate,16,0.3,4,0.030411947000000005,313.9833984375
degenerate_n16_p30_seed5.json,degenerate,16,0.3,5,0.03864092000000003,388.455078125
degenerate_n16_p30_seed6.json,degenerate,16,0.3,6,0.04163708699999999,389.1171875
degenerate_n16_p30_seed7.json,degenerate,16,0.3,7,0.02180471300000001,261.2001953125
degenerate_n16_p30_seed8.json,degenerate,16,0.3,8,0.034697759999999994,351.1025390625
degenerate_n16_p30_seed9.json,degenerate,16,0.3,9,0.034939891999999986,350.9521484375
degenerate_n16_p60_seed1.json,degenerate,16,0.6,1,3.3757595819999997,562.7578125
degenerate_n16_p60_seed10.json,degenerate,16,0.6,10,0.04677723400000003,421.5927734375
degenerate_n16_p60_seed2.json,degenerate,16,0.6,2,0.06499963899999998,457.009765625
degenerate_n16_p60_seed3.json,degenerate,16,0.6,3,1.0691307099999998,495.42578125
degenerate_n16_p60_seed4.json,degenerate,16,0.6,4,0.053279534000000024,354.833984375
degenerate_n16_p60_seed5.json,degenerate,16,0.6,5,0.07419119800000003,463.3876953125
degenerate_n16_p60_seed6.json,degenerate,16,0.6,6,0.07031994300000001,424.419921875
degenerate_n16_p60_seed7.json,degenerate,16,0.6,7,0.06561845100000005,349.15234375
degenerate_n16_p60_seed8.json,degenerate,16,0.6,8,0.04480848,340.44921875
degenerate_n16_p60_seed9.json,degenerate,16,0.6,9,0.0816782039999999,478.962890625
degenerate_n19_p100_seed1.json,degenerate,19,1.0,1,0.13173870199999999,595.7470703125
degenerate_n19_p100_seed10.json,degenerate,19,1.0,10,0.128416881,516.6591796875
degenerate_n19_p100_seed2.json,degenerate,19,1.0,2,7.235629191999997,804.3955078125
degenerate_n19_p100_seed3.json,degenerate,19,1.0,3,6.312641874999999,755.94140625
degenerate_n19_p100_seed4.json,degenerate,19,1.0,4,0.134434079,523.671875
degenerate_n19_p100_seed5.json,degenerate,19,1.0,5,0.1376091800000001,538.015625
degenerate_n19_p100_seed6.json,degenerate,19,1.0,6,0.1350111159999999,523.2294921875
degenerate_n19_p100_seed7.json,degenerate,19,1.0,7,4.072858888999999,640.0986328125
degenerate_n19_p100_seed8.json,degenerate,19,1.0,8,0.6091994950000001,538.921875
degenerate_n19_p100_seed9.json,degenerate,19,1.0,9,0.130223815,523.9287109375
degenerate_n19_p30_seed1.json,degenerate,19,0.3,1,2.6940855730000015,621.662109375
degenerate_n19_p30_seed10.json,degenerate,19,0.3,10,0.029992824000000005,316.9228515625
degenerate_n19_p30_seed2.json,degenerate,19,0.3,2,1.1609639200000001,481.2763671875
degenerate_n19_p30_seed3.json,degenerate,19,0.3,3,0.05259769200000002,481.142578125
degenerate_n19_p30_seed4.json,degenerate,19,0.3,4,0.04117546800000003,386.75
degenerate_n19_p30_seed5.json,degenerate,19,0.3,5,0.033258156000000004,344.94140625
degenerate_n19_p30_seed6.json,degenerate,19,0.3,6,0.04593574000000004,426.8193359375
degenerate_n19_p30_seed7.json,degenerate,19,0.3,7,0.039937342999999965,386.654296875
degenerate_n19_p30_seed8.json,degenerate,19,0.3,8,2.3641378699999995,523.8623046875
degenerate_n19_p30_seed9.json,degenerate,19,0.3,9,0.04571142900000002,427.771484375
degenerate_n19_p60_seed1.json,degenerate,19,0.6,1,0.08324945199999995,496.591796875
degenerate_n19_p60_seed10.json,degenerate,19,0.6,10,0.09110128700000007,404.0849609375
degenerate_n19_p60_seed2.json,degenerate,19,0.6,2,0.20682000900000005,482.8076171875
degenerate_n19_p60_seed3.json,degenerate,19,0.6,3,0.10736195899999999,499.8251953125
degenerate_n19_p60_seed4.json,degenerate,19,0.6,4,0.09192871200000002,497.4169921875
degenerate_n19_p60_seed5.json,degenerate,19,0.6,5,1.1754465850000015,610.0087890625
degenerate_n19_p60_seed6.json,degenerate,19,0.6,6,0.059741600000000034,483.865234375
degenerate_n19_p60_seed7.json,degenerate,19,0.6,7,0.09050834400000003,499.0947265625
degenerate_n19_p60_seed8.json,degenerate,19,0.6,8,7.170037444999989,626.095703125
degenerate_n19_p60_seed9.json,degenerate,19,0.6,9,0.0954740690000001,497.6298828125
degenerate_n22_p100_seed1.json,degenerate,22,1.0,1,15.192185620999997,1002.388671875
degenerate_n22_p100_seed10.json,degenerate,22,1.0,10,0.16918672399999993,532.3779296875
degenerate_n22_p100_seed2.json,degenerate,22,1.0,2,0.16729052399999994,517.392578125
degenerate_n22_p100_seed3.json,degenerate,22,1.0,3,0.9211386049999999,577.3232421875
degenerate_n22_p100_seed4.json,degenerate,22,1.0,4,0.18314987700000002,531.9765625
degenerate_n22_p100_seed5.json,degenerate,22,1.0,5,0.176668196,527.4599609375
degenerate_n22_p100_seed6.json,degenerate,22,1.0,6,0.16571389999999994,532.646484375
degenerate_n22_p100_seed7.json,degenerate,22,1.0,7,0.17028201100000004,517.404296875
degenerate_n22_p100_seed8.json,degenerate,22,1.0,8,7.373614093000001,814.9140625
degenerate_n22_p100_seed9.json,degenerate,22,1.0,9,0.18797003100000015,603.21484375
degenerate_n22_p30_seed1.json,degenerate,22,0.3,1,0.03929456800000004,272.7861328125
degenerate_n22_p30_seed10.json,degenerate,22,0.3,10,0.049795793,397.171875
degenerate_n22_p30_seed2.json,degenerate,22,0.3,2,0.04904161,467.111328125
degenerate_n22_p30_seed3.json,degenerate,22,0.3,3,0.26545191999999973,492.2626953125
degenerate_n22_p30_seed4.json,degenerate,22,0.3,4,0.03726582199999999,378.142578125
degenerate_n22_p30_seed5.json,degenerate,22,0.3,5,0.038435752000000024,378.3974609375
degenerate_n22_p30_seed6.json,degenerate,22,0.3,6,4.894047528,623.55078125
degenerate_n22_p30_seed7.json,degenerate,22,0.3,7,2.0701057869999997,521.0
degenerate_n22_p30_seed8.json,degenerate,22,0.3,8,6.9234909449999975,717.17578125
degenerate_n22_p30_seed9.json,degenerate,22,0.3,9,0.027260341000000007,318.47265625
degenerate_n22_p60_seed1.json,degenerate,22,0.6,1,0.11837049300000002,498.5595703125
degenerate_n22_p60_seed10.json,degenerate,22,0.6,10,4.198173982000004,802.708984375
degenerate_n22_p60_seed2.json,degenerate,22,0.6,2,3.2961974500000006,732.064453125
degenerate_n22_p60_seed3.json,degenerate,22,0.6,3,0.15010156600000005,497.341796875
degenerate_n22_p60_seed4.json,degenerate,22,0.6,4,0.10046726599999999,468.5966796875
degenerate_n22_p60_seed5.json,degenerate,22,0.6,5,9.695056615,884.1455078125
degenerate_n22_p60_seed6.json,degenerate,22,0.6,6,14.667978801999993,912.0244140625
degenerate_n22_p60_seed7.json,degenerate,22,0.6,7,1.4248402509999993,630.912109375
degenerate_n22_p60_seed8.json,degenerate,22,0.6,8,0.10608364400000005,495.4599609375
degenerate_n22_p60_seed9.json,degenerate,22,0.6,9,0.09315872900000007,496.7626953125
degenerate_n25_p100_seed1.json,degenerate,25,1.0,1,0.19931759400000004,618.984375
degenerate_n25_p100_seed10.json,degenerate,25,1.0,10,0.20441465400000003,616.091796875
degenerate_n25_p100_seed2.json,degenerate,25,1.0,2,0.19758715700000007,607.8046875
degenerate_n25_p100_seed3.json,degenerate,25,1.0,3,0.21107224699999996,627.3955078125
degenerate_n25_p100_seed4.json,degenerate,25,1.0,4,0.20819303200000022,638.84375
degenerate_n25_p100_seed5.json,degenerate,25,1.0,5,4.991592490999997,798.7607421875
degenerate_n25_p100_seed6.json,degenerate,25,1.0,6,3.142939058999998,700.8486328125
degenerate_n25_p100_seed7.json,degenerate,25,1.0,7,0.20164376100000012,638.412109375
degenerate_n25_p100_seed8.json,degenerate,25,1.0,8,39.22304604699999,1138.3251953125
degenerate_n25_p100_seed9.json,degenerate,25,1.0,9,0.21043389500000012,660.8369140625
degenerate_n25_p30_seed1.json,degenerate,25,0.3,1,0.03407080500000001,377.96875
degenerate_n25_p30_seed10.json,degenerate,25,0.3,10,0.07415247499999993,444.826171875
degenerate_n25_p30_seed2.json,degenerate,25,0.3,2,0.057433490999999975,342.8818359375
degenerate_n25_p30_seed3.json,degenerate,25,0.3,3,0.08420115300000004,375.5185546875
degenerate_n25_p30_seed4.json,degenerate,25,0.3,4,0.06465984200000005,444.0888671875
degenerate_n25_p30_seed5.json,degenerate,25,0.3,5,0.06287291,488.359375
degenerate_n25_p30_seed6.json,degenerate,25,0.3,6,1.0911344980000002,474.1884765625
degenerate_n25_p30_seed7.json,degenerate,25,0.3,7,0.04787435299999997,458.1513671875
degenerate_n25_p30_seed8.json,degenerate,25,0.3,8,7.129947974999993,807.05078125
degenerate_n25_p30_seed9.json,degenerate,25,0.3,9,15.177239569000006,895.6513671875
degenerate_n25_p60_seed1.json,degenerate,25,0.6,1,15.869519596000002,1051.171875
degenerate_n25_p60_seed10.json,degenerate,25,0.6,10,0.6949441899999999,597.349609375
degenerate_n25_p60_seed2.json,degenerate,25,0.6,2,0.17841786199999993,564.2490234375
degenerate_n25_p60_seed3.json,degenerate,25,0.6,3,0.2035783069999999,509.970703125
degenerate_n25_p60_seed4.json,degenerate,25,0.6,4,15.149154600000005,989.1474609375
degenerate_n25_p60_seed5.json,degenerate,25,0.6,5,8.587221132000003,994.888671875
degenerate_n25_p60_seed6.json,degenerate,25,0.6,6,0.11449631100000013,498.07421875
degenerate_n25_p60_seed7.json,degenerate,25,0.6,7,0.14201033900000004,513.4560546875
degenerate_n25_p60_seed8.json,degenerate,25,0.6,8,11.058350189,954.171875
degenerate_n25_p60_seed9.json,degenerate,25,0.6,9,0.15305550799999984,506.7490234375
degenerate_n28_p100_seed1.json,degenerate,28,1.0,1,0.27712822100000006,587.8671875
degenerate_n28_p100_seed10.json,degenerate,28,1.0,10,14.020059502,1121.3896484375
degenerate_n28_p100_seed2.json,degenerate,28,1.0,2,0.25523010500000004,628.517578125
degenerate_n28_p100_seed3.json,degenerate,28,1.0,3,0.26103882100000003,587.4541015625
degenerate_n28_p100_seed4.json,degenerate,28,1.0,4,7.498298313000001,874.5849609375
degenerate_n28_p100_seed5.json,degenerate,28,1.0,5,1.1265917910000003,749.7412109375
degenerate_n28_p100_seed6.json,degenerate,28,1.0,6,1.4435769270000003,710.1474609375
degenerate_n28_p100_seed7.json,degenerate,28,1.0,7,59.68124800400001,1275.974609375
degenerate_n28_p100_seed8.json,degenerate,28,1.0,8,3.857764444,786.486328125
degenerate_n28_p100_seed9.json,degenerate,28,1.0,9,0.253372368,592.7626953125
degenerate_n28_p30_seed1.json,degenerate,28,0.3,1,26.020531532000035,1153.404296875
degenerate_n28_p30_seed10.json,degenerate,28,0.3,10,1.7123008749999995,518.1455078125
degenerate_n28_p30_seed2.json,degenerate,28,0.3,2,0.567112787,524.5107421875
degenerate_n28_p30_seed3.json,degenerate,28,0.3,3,9.205696061000003,983.904296875
degenerate_n28_p30_seed4.json,degenerate,28,0.3,4,0.6228743909999996,479.6162109375
degenerate_n28_p30_seed5.json,degenerate,28,0.3,5,0.074381634,394.720703125
degenerate_n28_p30_seed6.json,degenerate,28,0.3,6,0.05948698899999997,308.7939453125
degenerate_n28_p30_seed7.json,degenerate,28,0.3,7,0.07016574799999999,444.0693359375
degenerate_n28_p30_seed8.json,degenerate,28,0.3,8,0.06835998899999995,338.5078125
degenerate_n28_p30_seed9.json,degenerate,28,0.3,9,2.1692933219999992,660.7373046875
degenerate_n28_p60_seed1.json,degenerate,28,0.6,1,0.14217114600000008,540.2177734375
degenerate_n28_p60_seed10.json,degenerate,28,0.6,10,2.620254315999999,652.7138671875
degenerate_n28_p60_seed2.json,degenerate,28,0.6,2,0.09886160300000005,494.8916015625
degenerate_n28_p60_seed3.json,degenerate,28,0.6,3,0.14906006100000008,513.306640625
degenerate_n28_p60_seed4.json,degenerate,28,0.6,4,0.17917340200000006,504.8115234375
degenerate_n28_p60_seed5.json,degenerate,28,0.6,5,0.18106802800000005,524.939453125
degenerate_n28_p60_seed6.json,degenerate,28,0.6,6,0.1276628269999999,525.5029296875
degenerate_n28_p60_seed7.json,degenerate,28,0.6,7,35.74259940599998,1266.90625
degenerate_n28_p60_seed8.json,degenerate,28,0.6,8,26.595326515000014,1183.990234375
degenerate_n28_p60_seed9.json,degenerate,28,0.6,9,0.1662270060000001,508.4140625
degenerate_n31_p100_seed1.json,degenerate,31,1.0,1,39.529843533999994,1302.4443359375
degenerate_n31_p100_seed10.json,degenerate,31,1.0,10,82.10704618899997,1546.1494140625
degenerate_n31_p100_seed2.json,degenerate,31,1.0,2,56.608719781999966,1425.7529296875
degenerate_n31_p100_seed3.json,degenerate,31,1.0,3,114.88836534000001,1579.4560546875
degenerate_n31_p100_seed4.json,degenerate,31,1.0,4,31.864317887999984,1386.2060546875
degenerate_n31_p100_seed5.json,degenerate,31,1.0,5,4.245200976000005,837.7666015625
degenerate_n31_p100_seed6.json,degenerate,31,1.0,6,16.862336114999994,1246.1103515625
degenerate_n31_p100_seed7.json,degenerate,31,1.0,7,0.30995970900000014,671.525390625
degenerate_n31_p100_seed8.json,degenerate,31,1.0,8,0.27953550799999993,625.9755859375
degenerate_n31_p100_seed9.json,degenerate,31,1.0,9,65.52927562899998,1618.271484375
degenerate_n31_p30_seed1.json,degenerate,31,0.3,1,0.07442993400000003,394.314453125
degenerate_n31_p30_seed10.json,degenerate,31,0.3,10,32.702814872000005,1412.919921875
degenerate_n31_p30_seed2.json,degenerate,31,0.3,2,21.246634367999988,1158.9345703125
degenerate_n31_p30_seed3.json,degenerate,31,0.3,3,0.09531004500000005,444.650390625
degenerate_n31_p30_seed4.json,degenerate,31,0.3,4,0.100513615,467.1259765625
degenerate_n31_p30_seed5.json,degenerate,31,0.3,5,16.519582248000006,1180.974609375
degenerate_n31_p30_seed6.json,degenerate,31,0.3,6,0.05924082000000001,437.322265625
degenerate_n31_p30_seed7.json,degenerate,31,0.3,7,0.10911657,498.681640625
degenerate_n31_p30_seed8.json,degenerate,31,0.3,8,2.669654767000001,600.4501953125
degenerate_n31_p30_seed9.json,degenerate,31,0.3,9,27.697632796999994,1242.9677734375
degenerate_n31_p60_seed1.json,degenerate,31,0.6,1,1.181868671,620.1474609375
degenerate_n31_p60_seed10.json,degenerate,31,0.6,10,55.91734977099999,1427.033203125
degenerate_n31_p60_seed2.json,degenerate,31,0.6,2,58.74059476099994,1427.1005859375
degenerate_n31_p60_seed3.json,degenerate,31,0.6,3,10.071129623000004,967.3408203125
degenerate_n31_p60_seed4.json,degenerate,31,0.6,4,0.13681848900000004,503.994140625
degenerate_n31_p60_seed5.json,degenerate,31,0.6,5,47.85190536800002,1378.173828125
degenerate_n31_p60_seed6.json,degenerate,31,0.6,6,0.9729226570000004,674.9365234375
degenerate_n31_p60_seed7.json,degenerate,31,0.6,7,0.20526375499999994,624.0224609375
degenerate_n31_p60_seed8.json,degenerate,31,0.6,8,57.903958375,1396.69921875
degenerate_n31_p60_seed9.json,degenerate,31,0.6,9,22.268450794999993,1132.7060546875
degenerate_n34_p100_seed1.json,degenerate,34,1.0,1,64.069316967,1634.4365234375
degenerate_n34_p100_seed10.json,degenerate,34,1.0,10,139.06154929300007,1770.5126953125
degenerate_n34_p100_seed2.json,degenerate,34,1.0,2,5.298787666999998,933.744140625
degenerate_n34_p100_seed3.json,degenerate,34,1.0,3,163.35950745899996,2118.5478515625
degenerate_n34_p100_seed4.json,degenerate,34,1.0,4,0.3893359680000003,618.453125
degenerate_n34_p100_seed5.json,degenerate,34,1.0,5,97.79084173899996,2060.11328125
degenerate_n34_p100_seed6.json,degenerate,34,1.0,6,0.34648834100000014,663.923828125
degenerate_n34_p100_seed7.json,degenerate,34,1.0,7,66.444194435,1692.3994140625
degenerate_n34_p100_seed8.json,degenerate,34,1.0,8,0.390864384,663.6025390625
degenerate_n34_p100_seed9.json,degenerate,34,1.0,9,0.4298263349999998,735.5361328125
degenerate_n34_p30_seed1.json,degenerate,34,0.3,1,0.06165030499999998,427.787109375
degenerate_n34_p30_seed10.json,degenerate,34,0.3,10,0.10251437599999993,498.412109375
degenerate_n34_p30_seed2.json,degenerate,34,0.3,2,18.193735286,1200.6962890625
degenerate_n34_p30_seed3.json,degenerate,34,0.3,3,0.058090647,388.529296875
degenerate_n34_p30_seed4.json,degenerate,34,0.3,4,48.520333944,1726.724609375
degenerate_n34_p30_seed5.json,degenerate,34,0.3,5,15.645026308000011,1143.4677734375
degenerate_n34_p30_seed6.json,degenerate,34,0.3,6,1.4517417870000007,619.7373046875
degenerate_n34_p30_seed7.json,degenerate,34,0.3,7,0.050316809,381.5625
degenerate_n34_p30_seed8.json,degenerate,34,0.3,8,0.08933312400000003,398.609375
degenerate_n34_p30_seed9.json,degenerate,34,0.3,9,17.620746472000004,1239.9501953125
degenerate_n34_p60_seed1.json,degenerate,34,0.6,1,0.23625285799999998,604.1513671875
degenerate_n34_p60_seed10.json,degenerate,34,0.6,10,0.19342052100000004,542.1640625
degenerate_n34_p60_seed2.json,degenerate,34,0.6,2,0.2750492160000001,615.3603515625
degenerate_n34_p60_seed3.json,degenerate,34,0.6,3,0.25726636300000016,602.1328125
degenerate_n34_p60_seed4.json,degenerate,34,0.6,4,18.268174626000008,1125.50390625
degenerate_n34_p60_seed5.json,degenerate,34,0.6,5,16.50376054099998,1179.2421875
degenerate_n34_p60_seed6.json,degenerate,34,0.6,6,0.17636735199999998,516.65234375
degenerate_n34_p60_seed7.json,degenerate,34,0.6,7,0.1534602950000001,588.1162109375
degenerate_n34_p60_seed8.json,degenerate,34,0.6,8,0.2010979740000001,529.2998046875
degenerate_n34_p60_seed9.json,degenerate,34,0.6,9,0.18132584099999993,572.845703125
